geographic_entity,state,constituency,matched_pc_id,matched_pc_name,mapping_status,coordinate_type,geo_source,validation_status,reason
"KRISHNANAGAR, West Bengal",West Bengal,KRISHNANAGAR,1912,Krishnanagar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SIKAR, Rajasthan",Rajasthan,SIKAR,805,Sikar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"ETAH, Uttar Pradesh",Uttar Pradesh,ETAH,922,Etah,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"AURANGABAD_BR, Bihar",Bihar,AURANGABAD_BR,1037,Aurangabad,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"DUMKA(ST), Jharkhand",Jharkhand,DUMKA(ST),2002,Dumka,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"FARRUKHABAD, Uttar Pradesh",Uttar Pradesh,FARRUKHABAD,940,Farrukhabad,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BAREILLY, Uttar Pradesh",Uttar Pradesh,BAREILLY,925,Bareilly,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"AMBEDKAR NAGAR, Uttar Pradesh",Uttar Pradesh,AMBEDKAR NAGAR,955,Ambedkar Nagar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"DURG, Chhattisgarh",Chhattisgarh,DURG,2207,Durg,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"ALWAR, Rajasthan",Rajasthan,ALWAR,808,Alwar,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"RAJAMPET, Andhra Pradesh",Andhra Pradesh,RAJAMPET,2841,Rajampet,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"IDUKKI, Kerala",Kerala,IDUKKI,3213,Idukki,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KAISERGANJ, Uttar Pradesh",Uttar Pradesh,KAISERGANJ,957,Kaiserganj,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"PATIALA, Punjab",Punjab,PATIALA,313,Patiala,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"SHIRUR, Maharashtra",Maharashtra,SHIRUR,2736,Shirur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"TIKAMGARH(SC), Madhya Pradesh",Madhya Pradesh,TIKAMGARH(SC),2306,Tikamgarh,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"GUWAHATI, Assam",Assam,GUWAHATI,1807,Gauhati,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BARASAT, West Bengal",West Bengal,BARASAT,1917,Barasat,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BASTI, Uttar Pradesh",Uttar Pradesh,BASTI,961,Basti,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"KOLKATA DAKSHIN, West Bengal",West Bengal,KOLKATA DAKSHIN,1923,Kolkata Dakshin,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"RAJKOT, Gujarat",Gujarat,RAJKOT,2410,Rajkot,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"RAMPUR, Uttar Pradesh",Uttar Pradesh,RAMPUR,907,Rampur,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"GHAZIABAD, Uttar Pradesh",Uttar Pradesh,GHAZIABAD,912,Ghaziabad,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"AMROHA, Uttar Pradesh",Uttar Pradesh,AMROHA,909,Amroha,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"BHIWANI MAHENDRAGARH, Haryana",Haryana,BHIWANI MAHENDRAGARH,608,Bhiwani-Mahendragarh,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"JALAUN(SC), Uttar Pradesh",Uttar Pradesh,JALAUN(SC),945,Jalaun,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
"AMRELI, Gujarat",Gujarat,AMRELI,2414,Amreli,MATCHED,CONSTITUENCY_CENTROID,DataMeet ECI Delimitation 2019,VALID,Normalized exact/alias key match
